key,code,moment,durationInitial,durationFinal,amount,type,email,link,key:project,key:sponsor
sponsorship-26,AAA-008,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,a@b.c,https://github.com/,project-26,sponsor-21
sponsorship-27,AAA-009,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,us!er@example.com,https://github.com/,project-26,sponsor-21
sponsorship-28,AAA-010,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,user@ex!ample.com,https://github.com/,project-27,sponsor-22
sponsorship-29,AAA-013,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,,https://github.com/,project-27,sponsor-22
sponsorship-30,AAA-014,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,http://a.b,project-27,sponsor-22
sponsorship-31,AAA-015,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,http://example123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123.com,project-28,sponsor-22
sponsorship-32,AAA-016,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,http://example.com/123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890,project-28,sponsor-22
sponsorship-33,AAA-018,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,ftp://example.com,project-28,sponsor-22
sponsorship-34,AAA-019,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,file:///path/to/file.txt,project-28,sponsor-22
sponsorship-35,AAA-020,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,,project-28,sponsor-22
